,Brand,Model,Year,Kilometers,No_of_owners,Fuel,Variant,Price
4313,Ford,Ecosport,2014,"70,000 km",2nd,Diesel,1.5 Diesel Titanium,"₹ 4,50,000"
4314,Maruti Suzuki,Vitara Brezza,2019,"33,000 km",1st,Diesel,ZDi,"₹ 8,20,000"
4315,Maruti Suzuki,Wagon R,2018,"29,000 km",1st,Petrol,VXI Opt,"₹ 4,75,000"
4316,Toyota,Innova Crysta,2017,"70,000 km",1st,Diesel,2.4 G Plus MT,"₹ 14,50,000"
4317,Chevrolet,Spark,2009,"67,000 km",1st,Petrol,2007-2012 1.0 LS,"₹ 80,000"
4318,Mahindra,Scorpio,2010,"86,000 km",2nd,Diesel,2002-2013 VLX,"₹ 5,50,000"
4319,Other Brands,Others,2021,178 km,1st,Diesel,--,"₹ 70,000"
4320,Maruti Suzuki,Swift Dzire,2009,"105,000 km",3rd,Diesel,ZXI,"₹ 2,70,000"
4321,Maruti Suzuki,Alto K10,2018,"56,000 km",2nd,Petrol,K10 VXi (O),"₹ 3,75,000"
4322,Maruti Suzuki,Omni,2018,"27,000 km",2nd,LPG,CNG,"₹ 90,000"
4323,Tata,Indica,2002,"70,000 km",4+,Diesel,DLX,"₹ 40,000"
4324,Maruti Suzuki,Omni,2015,"95,000 km",2nd,Petrol,LPG BS-III,"₹ 1,60,000"
4325,Ford,Aspire,2016,"45,000 km",1st,Petrol,Trend Plus Ti-VCT,"₹ 5,25,000"
4326,Maruti Suzuki,Swift Dzire,2015,"90,000 km",2nd,Diesel,Vdi BSIV,"₹ 5,60,000"
4327,Maruti Suzuki,Wagon R,2016,"60,000 km",2nd,Petrol,VXI,"₹ 3,65,000"
4328,Maruti Suzuki,Zen,2005,"30,000 km",1st,Diesel,LX - BS III,"₹ 30,000"
4329,Maruti Suzuki,Eeco,2021,"13,000 km",1st,Petrol,5 STR With AC Plus HTR (CNG),"₹ 5,00,000"
4330,--,--,2021,0 km,--,--,--,"₹ 5,20,000"
4331,--,--,2005,"47,661 km",--,--,--,"₹ 7,89,000"
4332,--,--,2009,"45,300 km",--,--,--,"₹ 7,36,000"
4333,Mahindra,Scorpio,2006,"180,000 km",2nd,Diesel,2006-2009 DX 2.6 Turbo 8 Str,"₹ 3,00,000"
4334,Maruti Suzuki,Wagon R,2008,"89,000 km",1st,LPG,LXI,"₹ 1,45,000"
4335,Skoda,Yeti,2012,"90,000 km",1st,Diesel,--,"₹ 4,95,000"
4336,--,--,--,--,--,--,--,
4337,MG,Hector,2019,"18,148 km",1st,Petrol,Sharp AT,"₹ 16,75,000"
4338,Mahindra,Others,2020,"15,000 km",1st,Diesel,Others,"₹ 70,000"
4339,--,--,2006,"48,797 km",--,--,--,"₹ 7,95,000"
4340,--,--,2005,"49,802 km",--,--,--,"₹ 7,95,000"
4341,Honda,Accord,2010,8 km,3rd,CNG & Hybrids,Accord 2.4 Automatic,"₹ 4,20,000"
4342,Tata,Tiago,2017,"76,000 km",1st,Petrol,1.2 Revotron XT,"₹ 4,10,000"
4343,--,--,--,--,--,--,--,
4344,Honda,Amaze,2018,"36,000 km",1st,CNG & Hybrids,VX Petrol,"₹ 6,35,000"
4345,Hyundai,EON,2018,"117,000 km",1st,LPG,Era + LPG,"₹ 2,60,000"
4346,Tata,Bolt,2015,17 km,2nd,Petrol,Others,"₹ 2,50,000"
4347,Maruti Suzuki,Swift,2012,"66,000 km",2nd,Diesel,2011-2014 ZDi,"₹ 4,80,000"
4348,Maruti Suzuki,Alto 800,2014,"40,000 km",2nd,Petrol,VXI,"₹ 2,65,000"
4349,Maruti Suzuki,Swift,2019,"30,000 km",1st,Petrol,AMT VXI,"₹ 6,50,000"
4350,Maruti Suzuki,Alto 800,2015,"12,000 km",1st,Petrol,2012-2016 LXI,"₹ 2,55,000"
4351,Maruti Suzuki,Swift,2017,"56,000 km",1st,Petrol,LXI Optional-O,"₹ 4,95,000"
4352,Hyundai,Verna,2021,"1,500 km",1st,Petrol,Others,"₹ 11,20,000"
4353,Toyota,Innova,2014,"90,700 km",2nd,Diesel,2.5 V 7 STR,"₹ 9,75,000"
4354,Hyundai,Grand i10,2017,"44,000 km",2nd,Diesel,1.2 CRDi Magna,"₹ 4,99,000"
4355,Maruti Suzuki,Wagon R,2010,"60,000 km",2nd,Petrol,Duo LXi LPG,"₹ 2,15,000"
4356,Maruti Suzuki,Celerio,2018,"50,000 km",2nd,Petrol,ZXI MT,"₹ 4,50,000"
4357,Renault,Lodgy,2017,"48,000 km",4th,Diesel,Stepway 85PS RXZ 8S,"₹ 4,25,000"
4358,--,--,2006,"51,432 km",--,--,--,"₹ 7,88,000"
4359,--,--,2001,"8,700 km",--,--,--,"₹ 7,59,000"
4360,Renault,KWID,2018,"25,000 km",1st,Petrol,RXT,"₹ 2,90,000"
4361,Maruti Suzuki,Swift Dzire,2017,"70,000 km",1st,Diesel,VDI,"₹ 5,20,000"
4362,Toyota,Innova,2016,"265,000 km",1st,Diesel,2.5 G (Diesel) 8 Seater,"₹ 6,50,000"
4363,Hyundai,Accent,2011,"85,000 km",3rd,Petrol,Executive,"₹ 2,00,000"
4364,Hyundai,i20,2012,"93,000 km",1st,Diesel,1.4 Magna Executive,"₹ 3,50,000"
4365,Tata,Nano,2010,"41,000 km",2nd,Petrol,2009-2011 Std,"₹ 65,000"
4366,Honda,Amaze,2021,0 km,1st,Petrol,SX i DTEC,"₹ 15,000"
4367,Mahindra,Bolero,2020,"33,000 km",1st,Diesel,Camper,"₹ 8,50,000"
4368,Mahindra,Bolero,2013,"110,000 km",1st,Diesel,SLX,"₹ 3,20,000"
4369,Maruti Suzuki,Wagon R,2016,"29,000 km",1st,Petrol,1999-2006 VXI BSIII,"₹ 3,75,000"
4370,Hyundai,Creta,2015,"75,000 km",2nd,Diesel,1.6 SX (O),"₹ 8,90,000"
4371,Hyundai,Getz,2006,"93,000 km",2nd,Petrol,GLE,"₹ 1,25,000"
4372,Jeep,Others,1973,"100,000 km",3rd,Diesel,Others,"₹ 2,32,000"
4373,Honda,Amaze,2019,"36,000 km",1st,Petrol,S i-VTEC,"₹ 6,75,000"
4374,Hyundai,Grand i10,2017,"62,115 km",1st,Diesel,1.2 CRDi Sportz,"₹ 4,75,000"
4375,Tata,Harrier,2019,"23,000 km",1st,Diesel,XZ,"₹ 15,00,000"
4376,Maruti Suzuki,Vitara Brezza,2016,20 km,2nd,Diesel,ZDi Plus,"₹ 6,50,000"
4377,Volkswagen,Polo,2013,"77,453 km",1st,Diesel,Others,"₹ 3,50,000"
4378,Maruti Suzuki,Gypsy,2010,"44,654 km",2nd,Petrol,King Soft Top MPI BSIV,"₹ 4,35,000"
4379,--,--,--,--,--,--,--,
4380,Skoda,Rapid,2015,"50,000 km",1st,Diesel,Elegance 1.6 TDI CR Manual,"₹ 6,00,000"
4381,Mahindra,Scorpio,2011,"216,000 km",1st,Diesel,2002-2013 Sle,"₹ 2,55,000"
4382,Chevrolet,Tavera Neo,2016,"240,000 km",1st,Diesel,3 Standard,"₹ 6,50,000"
4383,Maruti Suzuki,Swift Dzire,2016,"19,000 km",1st,Petrol,VXI,"₹ 5,60,000"
4384,Maruti Suzuki,Swift,2016,"89,000 km",1st,Diesel,2011-2014 VDI,"₹ 4,50,000"
4385,Maruti Suzuki,Others,2019,"7,600 km",1st,Diesel,Others,"₹ 3,90,000"
4386,Maruti Suzuki,Baleno,2007,"80,000 km",1st,Petrol,1999-2007 Vxi,"₹ 1,20,000"
4387,Toyota,Innova,2010,"161,000 km",2nd,Diesel,2.5 G (Diesel) 8 Seater BS IV,"₹ 5,25,000"
4388,Tata,Others,2017,18 km,1st,Diesel,Others,"₹ 3,15,000"
