,Brand,Model,Year,Kilometers,No_of_owners,Fuel,Variant,Price
281,Honda,Amaze,2019,"36,747 km",--,Petrol,--,"₹ 7,23,000"
282,Audi,A3,2019,"25,000 km",1st,Diesel,35 TDI Premium + Sunroof,"₹ 28,99,999"
283,Maruti Suzuki,Zen,2002,"94,000 km",3rd,Petrol,VXI,"₹ 76,000"
284,Maruti Suzuki,Swift,2012,"100,000 km",2nd,Diesel,2011-2014 VDI,"₹ 3,95,000"
285,Maruti Suzuki,Swift Dzire,2018,"68,984 km",1st,Diesel,Vdi BSIV,"₹ 7,50,000"
286,Maruti Suzuki,Swift Dzire,2017,"98,000 km",2nd,Diesel,Swift Dzire Tour,"₹ 3,75,000"
287,Mahindra,Jeep,2007,"68,000 km",2nd,Diesel,CL 500 MDI,"₹ 3,20,000"
288,--,--,--,--,--,--,--,--
289,Maruti Suzuki,800,2003,"55,000 km",1st,LPG,Duo Std LPG,"₹ 40,000"
290,Mahindra,Bolero,2011,"60,000 km",2nd,Diesel,Others,"₹ 3,00,050"
291,Mercedes-Benz,GLA Class,2016,"26,000 km",1st,Diesel,2014-2017 200,"₹ 16,50,000"
292,Honda,Civic,2007,13 km,2nd,Petrol,1.8 V MT,"₹ 2,40,000"
293,Mercedes-Benz,GLA Class,2014,"30,000 km",1st,Diesel,2014-2017 200 CDI,"₹ 14,50,000"
294,Maruti Suzuki,Celerio,2015,"59,800 km",2nd,Petrol,2014-2017 VXI,"₹ 3,95,000"
295,Fiat,Punto,2013,"50,000 km",1st,Petrol,1.2 Dynamic,"₹ 2,45,000"
296,Maruti Suzuki,800,2011,"52,000 km",1st,Petrol,Others,"₹ 1,55,000"
297,Hyundai,Verna,2013,"74,087 km",3rd,CNG & Hybrids,2011-2014 1.6 EX VTVT,"₹ 3,45,000"
298,Maruti Suzuki,SX4,2008,"88,000 km",4th,CNG & Hybrids,ZXi (Opt),"₹ 1,60,000"
299,Maruti Suzuki,Wagon R 1.0,2006,"80,000 km",2nd,Petrol,1.0 LXi,"₹ 46,000"
300,Honda,Jazz,2017,"70,000 km",2nd,Petrol,V CVT,"₹ 5,95,000"
301,Maruti Suzuki,Wagon R 1.0,2006,"58,000 km",2nd,CNG & Hybrids,Wagon R 1.0 LXi CNG,"₹ 1,95,000"
302,Tata,Safari Storme,2010,"80,000 km",1st,Diesel,VX,"₹ 6,50,000"
303,Toyota,Corolla Altis,2011,"165,000 km",2nd,Diesel,2010-2013 Diesel D4DG,"₹ 6,00,000"
304,Tata,Indigo CS,2011,"68,000 km",2nd,Petrol,CS GLX,"₹ 1,20,000"
305,Hyundai,Verna,2012,"48,000 km",2nd,Diesel,2011-2014 1.6 SX CRDi (O),"₹ 2,60,000"
306,Mercedes-Benz,GLS,2016,"44,000 km",1st,Diesel,350 D,"₹ 61,50,000"
307,Maruti Suzuki,Zen,2002,"60,000 km",2nd,LPG,LXI,"₹ 60,000"
308,Mahindra,XUV500,2012,"80,000 km",2nd,Diesel,2011-2015 W8 2WD,"₹ 6,30,000"
309,Hyundai,EON,2015,"29,950 km",1st,Petrol,1.0 Era Plus,"₹ 2,40,000"
310,Mahindra,Bolero,2014,"100,000 km",2nd,Diesel,ZLX,"₹ 5,30,000"
311,Maruti Suzuki,Omni,1999,"83,000 km",3rd,CNG & Hybrids,LPG BS-III,"₹ 75,000"
312,Mini,JCW (John Cooper Works),2016,"5,000 km",1st,Petrol,Others,"₹ 32,00,000"
313,Toyota,Etios Cross,2015,"82,700 km",2nd,Petrol,1.2L G,"₹ 4,11,000"
314,Volkswagen,Vento,2011,"57,101 km",1st,Petrol,2010-2013 IPL II Petrol Highline,"₹ 3,25,000"
315,Maruti Suzuki,Baleno RS,2019,"35,000 km",1st,Petrol,1.0 Petrol,"₹ 6,50,000"
316,Tata,Others,2019,"38,000 km",1st,Diesel,Others,"₹ 4,50,000"
317,--,--,--,--,--,--,--,--
318,Maruti Suzuki,Zen,2005,"80,000 km",3rd,Diesel,D,"₹ 70,000"
319,Skoda,Rapid,2014,"50,000 km",2nd,Petrol,2013-2016 1.6 MPI AT Elegance Plus,"₹ 5,70,000"
320,Maruti Suzuki,Ertiga,2019,"39,000 km",1st,Diesel,SHVS VDI,"₹ 8,65,000"
321,Maruti Suzuki,Swift Dzire,2019,"44,999 km",1st,Diesel,VDI,"₹ 6,30,000"
322,Maruti Suzuki,Wagon R,2008,"77,000 km",1st,Petrol,VXI,"₹ 2,25,000"
323,Chevrolet,Enjoy,2013,"98,000 km",1st,Diesel,1.3 TCDi LS 7,"₹ 3,50,000"
324,Honda,Brio,2012,"55,095 km",1st,Petrol,2011-2013 AT,"₹ 60,000"
325,Mahindra,Scorpio,2013,"93,000 km",3rd,Diesel,Others,"₹ 5,20,000"
326,Tata,Nano,2015,"15,000 km",1st,Petrol,CNG emax CX,"₹ 1,00,000"
327,Honda,City,2014,"100,000 km",2nd,Diesel,2014-2015 i DTEC V,"₹ 5,35,000"
328,Maruti Suzuki,Wagon R,2015,"65,000 km",1st,Petrol,LXI,"₹ 3,35,000"
329,Mahindra,Scorpio,2017,"55,000 km",2nd,Diesel,Intelli Hybrid S10,"₹ 15,00,000"
330,Volkswagen,Polo,2015,"95,000 km",2nd,Diesel,2009-2013 Diesel Comfortline 1.2L,"₹ 3,75,000"
331,Maruti Suzuki,Alto,2008,"43,000 km",2nd,Petrol,LXi,"₹ 1,25,000"
332,Maruti Suzuki,Omni,2006,"43,000 km",3rd,CNG & Hybrids,8 Seater BSII,"₹ 1,50,000"
333,Maruti Suzuki,Ciaz,2016,"58,000 km",1st,Diesel,2014-2017 RS ZDi Plus SHVS,"₹ 6,40,000"
334,Maruti Suzuki,Ertiga,2018,"56,500 km",2nd,Diesel,Ertiga 2018,"₹ 8,60,000"
335,Honda,City,2015,"75,000 km",2nd,CNG & Hybrids,i-VTEC CVT V,"₹ 6,25,000"
336,Mahindra,Scorpio,2018,"51,000 km",1st,Diesel,S11,"₹ 15,10,000"
337,Honda,City,2015,"87,000 km",2nd,Diesel,2014-2015 i DTEC SV,"₹ 5,00,000"
338,Hyundai,Elite i20,2017,"45,000 km",1st,Diesel,Sportz Plus Diesel,"₹ 6,75,000"
339,Toyota,Qualis,2000,"250,000 km",4+,Diesel,Others,"₹ 1,79,999"
340,Toyota,Innova,2015,"100,714 km",1st,Diesel,2.5 G (Diesel) 8 Seater,"₹ 10,85,000"
341,--,--,--,--,--,--,--,₹ 149
342,Tata,Bolt,2017,"66,000 km",1st,Diesel,Quadrajet XE,"₹ 3,40,000"
343,Honda,Jazz,2016,"21,000 km",1st,Petrol,V CVT,"₹ 5,20,000"
344,Tata,Indica Vista,2012,"70,000 km",1st,Diesel,2008-2013 Aura 1.2 Safire BSIV,"₹ 2,15,000"
345,Hyundai,i20,2020,"2,500 km",1st,Petrol,Sportz Plus CVT,"₹ 9,15,000"
346,Honda,City,2014,"88,000 km",2nd,Diesel,i-DTEC VX,"₹ 6,25,000"
347,Honda,City,2015,"62,000 km",1st,Diesel,2015-2017 i DTec SV,"₹ 5,45,000"
348,--,--,--,--,--,--,--,--
349,Toyota,Innova Crysta,2016,"58,000 km",1st,Diesel,2.4 ZX MT,"₹ 15,95,000"
350,--,--,--,--,--,--,--,--
351,--,--,--,--,--,--,--,"₹ 8,000"
352,Skoda,Rapid,2012,"70,000 km",1st,Diesel,1.5 TDI Style,"₹ 3,25,000"
353,Hyundai,Verna,2011,"148,000 km",1st,Diesel,Fluidic 1.4 CRDi CX,"₹ 3,25,000"
354,Maruti Suzuki,Alto 800,2014,"57,000 km",1st,Petrol,LXI,"₹ 2,50,000"
355,Maruti Suzuki,Swift,2021,"9,500 km",2nd,Petrol,VXI,"₹ 6,30,000"
356,Toyota,Etios,2012,"67,000 km",1st,Diesel,2010-2012 GD,"₹ 3,45,000"
357,Maruti Suzuki,SX4,2008,"100,000 km",3rd,CNG & Hybrids,2007-2012 Zxi BSIII,"₹ 1,85,000"
358,Volkswagen,Polo,2011,"45,000 km",1st,Petrol,Others,"₹ 2,80,000"
359,--,--,--,--,--,--,--,"₹ 15,000"
360,--,--,--,--,--,--,--,--
361,--,--,--,--,--,--,--,--
362,Tata,Nano,2014,"45,000 km",1st,Petrol,2012-2015 Twist XT,"₹ 1,45,000"
363,Mahindra,Bolero Power Plus,2015,20 km,2nd,Diesel,ZLX,"₹ 6,00,000"
364,Maruti Suzuki,Omni,2017,"24,800 km",2nd,Petrol,8 Seater BSIV,"₹ 3,40,000"
365,Maruti Suzuki,Swift,2011,"48,000 km",2nd,Petrol,2011-2014 RS VXI,"₹ 4,50,000"
366,Maruti Suzuki,Vitara Brezza,2020,"28,500 km",1st,Diesel,VDi,"₹ 8,75,000"
367,Maruti Suzuki,Alto 800,2018,"55,456 km",1st,Petrol,LXI,"₹ 3,50,000"
368,Mahindra,TUV 300,2017,"75,000 km",1st,Diesel,mHAWK100 T8 AMT,"₹ 7,00,000"
369,Hyundai,Elite i20,2014,"60,000 km",2nd,Diesel,Asta 1.4 CRDI,"₹ 5,11,000"
370,Maruti Suzuki,Eeco,2021,150 km,1st,Petrol,Ambulance Petrol AC Plus HTR,"₹ 6,30,000"
371,Chevrolet,Spark,2009,0 km,3rd,LPG,1.0 LS,"₹ 75,000"
372,Hyundai,Santro Xing,2007,"10,000 km",2nd,Petrol,XG AT eRLX Euro III,"₹ 65,000"
373,Maruti Suzuki,Alto,2008,"85,000 km",2nd,--,--,"₹ 1,45,000"
374,Maruti Suzuki,Omni,2013,"45,000 km",1st,Petrol,8 Seater BSII,"₹ 64,999"
375,Maruti Suzuki,Wagon R 1.0,2013,"41,000 km",1st,Petrol,1.0 LXi,"₹ 2,45,000"
376,--,--,--,--,--,--,--,--
377,Maruti Suzuki,Swift,2015,"55,000 km",1st,Diesel,2011-2014 Star LDI,"₹ 4,40,000"
378,Mahindra,Bolero,2017,"82,000 km",2nd,Diesel,SLE,"₹ 6,70,000"
379,Hyundai,i10,2010,"58,000 km",1st,Petrol,1.2 Kappa Magna,"₹ 2,40,000"
380,Mercedes-Benz,E-Class,2014,"66,000 km",1st,Diesel,2013-2015 E250 CDI Avantgrade,"₹ 18,00,000"
381,Maruti Suzuki,Alto 800,2014,"18,000 km",1st,Petrol,LXI Opt,"₹ 2,70,000"
382,Hyundai,Grand i10,2018,"35,000 km",1st,Petrol,1.2 Kappa Magna,"₹ 4,80,000"
383,Maruti Suzuki,Alto,2007,"170,000 km",4+,Petrol,LXi,"₹ 92,000"
384,Maruti Suzuki,Wagon R,2013,"62,600 km",1st,CNG & Hybrids,CNG LXI,"₹ 3,00,000"
385,Volkswagen,Polo,2013,"68,000 km",2nd,Diesel,1.2 MPI Highline,"₹ 3,50,000"
386,Toyota,Innova Crysta,2019,"60,000 km",1st,Diesel,2.4 V,"₹ 20,75,000"
387,Hyundai,Santro Xing,2008,"103,786 km",1st,Petrol,GL,"₹ 1,25,000"
388,Maruti Suzuki,Swift Dzire,2016,"60,713 km",1st,Petrol,VXI 1.2,"₹ 4,95,000"
389,Toyota,Corolla Altis,2009,"80,000 km",1st,Petrol,G,"₹ 3,50,000"
390,Renault,Duster,2013,"68,000 km",1st,Diesel,2012-2015 85PS Diesel RxL,"₹ 3,80,000"
391,Skoda,Laura,2011,"80,000 km",1st,Diesel,Ambiente 2.0 TDI CR Automatic,"₹ 5,50,000"
392,Ford,Figo,2012,"85,000 km",2nd,Diesel,Duratorq ZXI 1.4,"₹ 1,89,000"
393,Hyundai,i20,2012,"67,274 km",--,Petrol,--,"₹ 3,10,000"
394,Hyundai,Verna,2019,"34,899 km",1st,Petrol,VTVT 1.6 AT SX Option,"₹ 10,96,999"
395,Hyundai,Verna,2019,"35,000 km",1st,Petrol,VTVT 1.6 AT SX Option,"₹ 10,94,999"
396,Hyundai,Verna,2019,"35,000 km",1st,Petrol,VTVT 1.6 AT SX Option,"₹ 10,99,999"
397,Mahindra,Scorpio,2017,"845,000 km",1st,Diesel,1.99 S6 Plus,"₹ 9,98,999"
398,--,--,--,--,--,--,--,--
399,Honda,City,2014,"60,000 km",2nd,Diesel,2014-2015 i DTEC VX Option,"₹ 7,20,000"
400,Maruti Suzuki,Swift Dzire,2015,"95,000 km",1st,Petrol,VXI,"₹ 4,95,000"
401,Maruti Suzuki,Wagon R,2015,"17,000 km",--,Petrol,VXI,"₹ 3,50,000"
402,Ford,Fiesta,2010,"115,000 km",2nd,Diesel,2004-2010 1.4 Duratec EXI,"₹ 2,75,000"
403,Hyundai,Creta,2016,"56,000 km",1st,Diesel,1.6 SX Automatic Diesel,"₹ 11,65,000"
404,Chevrolet,Captiva,2009,"84,000 km",3rd,Diesel,2008-2011 LTZ VCDi,"₹ 2,80,000"
405,Honda,Civic,2010,"90,000 km",2nd,CNG & Hybrids,1.8 V AT Inspire,"₹ 2,85,000"
406,Hyundai,i10,2010,"35,000 km",2nd,Petrol,Sportz AT,"₹ 2,25,000"
407,Hyundai,Verna,2018,"28,000 km",1st,Diesel,VTVT 1.6 SX,"₹ 11,25,000"
408,Mahindra,XUV500,2016,"46,500 km",1st,Diesel,AT W10 FWD,"₹ 10,45,000"
409,--,--,2021,0 km,--,--,--,"₹ 1,50,000"
410,Maruti Suzuki,Swift,2019,"46,160 km",1st,Petrol,VXI,"₹ 5,70,000"
411,Maruti Suzuki,Wagon R,2008,"152,000 km",2nd,Petrol,2006-2010 VXI Minor,"₹ 2,25,000"
412,Mercedes-Benz,M-Class,2015,"64,000 km",1st,Diesel,ML 250 CDI,"₹ 34,25,000"
413,--,--,--,--,--,--,--,--
414,Maruti Suzuki,Wagon R,2020,"17,500 km",1st,Petrol,VXI 1.2,"₹ 5,35,000"
415,Maruti Suzuki,Swift Dzire,2018,"38,000 km",1st,Diesel,Vdi BSIV,"₹ 7,50,000"
416,Maruti Suzuki,Swift,2008,"96,281 km",1st,Diesel,VDI,"₹ 2,95,000"
417,Toyota,Corolla Altis,2015,"63,000 km",2nd,Diesel,2013-2017 D-4D J,"₹ 8,60,000"
418,--,--,--,--,--,--,--,₹ 99
419,Honda,City,2010,"96,000 km",2nd,CNG & Hybrids,2011-2013 VTEC,"₹ 3,19,000"
420,Maruti Suzuki,Ertiga,2018,"40,000 km",1st,Diesel,SHVS ZDI Plus,"₹ 10,10,000"
421,Volkswagen,Polo,2018,"27,000 km",1st,Petrol,GT TSI,"₹ 8,50,000"
422,Maruti Suzuki,Eeco,2010,"75,000 km",2nd,CNG & Hybrids,5 Seater AC,"₹ 2,31,000"
423,Maruti Suzuki,Eeco,2010,"54,000 km",2nd,Petrol,5 Seater AC,"₹ 2,25,000"
424,Tata,Nano,2013,"35,000 km",1st,Petrol,2012-2015 LX,"₹ 71,000"
425,Mercedes-Benz,CL-Class,2017,"60,000 km",1st,Diesel,Others,"₹ 32,50,000"
426,Renault,KWID,2016,"27,708 km",1st,Petrol,1,"₹ 3,10,000"
427,Tata,Indica V2,2014,"78,000 km",1st,Diesel,V2 LS,"₹ 1,55,000"
428,Maruti Suzuki,Swift,2015,"55,000 km",1st,Diesel,ZDi,"₹ 5,25,000"
429,Maruti Suzuki,Swift,2018,"58,000 km",1st,Petrol,2018 VXI,"₹ 5,90,000"
430,--,--,--,--,--,--,--,"₹ 23,00,000"
431,Chevrolet,Beat,2014,"34,000 km",1st,Diesel,Others,"₹ 2,25,000"
432,Hyundai,Santa Fe,2011,"99,000 km",2nd,Diesel,2009-2013 4X4,"₹ 10,00,000"
433,--,--,--,--,--,--,--,"₹ 50,00,000"
434,--,--,--,--,--,--,--,"₹ 49,00,000"
435,--,--,--,--,--,--,--,"₹ 50,00,000"
436,--,--,--,--,--,--,--,"₹ 49,90,000"
437,--,--,--,--,--,--,--,"₹ 49,00,000"
438,--,--,--,--,--,--,--,"₹ 50,00,000"
439,Tata,Tiago,2018,"37,633 km",--,Petrol,--,"₹ 5,39,000"
440,Toyota,Fortuner,2010,"176,500 km",2nd,Diesel,3.0 4x4 Manual,"₹ 8,95,000"
441,Toyota,Others,2020,"7,500 km",1st,Petrol,Others,"₹ 10,25,000"
442,Skoda,Superb,2011,"57,000 km",2nd,Petrol,2008-2013 Elegance 1.8 TSI AT,"₹ 4,50,000"
443,Honda,Jazz,2015,"60,000 km",1st,Diesel,1.5 VX i DTEC,"₹ 5,25,000"
444,Hyundai,Grand i10,2018,"22,000 km",1st,Petrol,1.2 Kappa Magna,"₹ 5,30,000"
445,Hyundai,Grand i10,2019,"19,000 km",1st,Petrol,1.2 Kappa Magna,"₹ 5,50,000"
446,Honda,Amaze,2013,"45,000 km",1st,Diesel,1.5 SMT I DTEC,"₹ 3,25,000"
447,--,--,--,--,--,--,--,"₹ 25,00,000"
448,--,--,2005,"46,764 km",--,--,--,"₹ 7,88,000"
449,--,--,2005,"46,883 km",--,--,--,"₹ 7,87,000"
450,--,--,2006,"48,900 km",--,--,--,"₹ 7,96,000"
451,--,--,2005,"45,007 km",--,--,--,"₹ 7,89,000"
452,--,--,2005,"47,821 km",--,--,--,"₹ 7,58,000"
453,--,--,--,--,--,--,--,"₹ 45,00,000"
454,--,--,--,--,--,--,--,"₹ 47,00,000"
455,--,--,--,--,--,--,--,₹ 99
456,Toyota,Etios Liva,2012,"48,000 km",1st,Petrol,2011-2012 G,"₹ 4,30,000"
457,Hyundai,EON,2013,"27,000 km",1st,Petrol,Era +,"₹ 3,25,000"
458,Hyundai,EON,2013,"27,000 km",1st,Petrol,Era +,"₹ 3,25,000"
459,BMW,3 Series,2020,275 km,1st,Diesel,320d Luxury Line,"₹ 47,50,000"
460,Kia,Seltos,2020,"5,322 km",1st,Diesel,HTX D,"₹ 16,50,000"
461,Maruti Suzuki,Ertiga,2017,"46,000 km",1st,Petrol,VXI AT Petrol,"₹ 7,60,000"
462,Maruti Suzuki,Swift Dzire,2010,"55,000 km",--,Petrol,--,"₹ 2,25,000"
463,Toyota,Innova,2010,"70,000 km",--,Diesel,--,"₹ 5,00,000"
464,Maruti Suzuki,Alto K10,2014,"47,000 km",--,Petrol,--,"₹ 2,40,000"
465,--,--,--,--,--,--,--,"₹ 4,800"
466,Hyundai,Santro Xing,2005,"86,000 km",2nd,Petrol,XL,"₹ 1,65,000"
467,Honda,City,2010,"101,800 km",1st,Petrol,2008-2011 1.5 V MT,"₹ 2,77,000"
468,Toyota,Innova,2005,"220,000 km",1st,Diesel,2004-2011 2.0 G1,"₹ 4,75,000"
469,Ford,Fiesta,2010,"126,000 km",1st,Diesel,2004-2010 1.4 SXi TDCi ABS,"₹ 2,99,999"
470,Tata,Sumo Gold,2012,"115,000 km",1st,Diesel,Gold GX BSIII,"₹ 4,49,000"
471,Ford,Figo Aspire,2018,"80,460 km",1st,Diesel,1.5 TDCi Trend,"₹ 3,90,000"
472,--,--,--,--,--,--,--,"₹ 1,435"
473,--,--,--,--,--,--,--,"₹ 1,452"
474,--,--,--,--,--,--,--,"₹ 1,431"
475,--,--,--,--,--,--,--,"₹ 1,452"
476,--,--,--,--,--,--,--,"₹ 1,433"
477,Audi,A3,2016,"26,000 km",1st,Electric,35 TDI Premium Plus + Sunroof,"₹ 19,51,000"
478,Toyota,Innova,2012,"55,000 km",1st,Diesel,2.5 V 7 STR,"₹ 7,99,000"
479,Mitsubishi,Lancer,2005,"150,000 km",1st,Petrol,1.5 LXi,"₹ 1,60,000"
480,Hyundai,Fluidic Verna,2012,"115,721 km",1st,Diesel,1.6 CRDi SX Automatic,"₹ 4,95,000"
481,Maruti Suzuki,Ritz,2014,"74,000 km",1st,Diesel,VDi,"₹ 3,25,000"
482,Maruti Suzuki,Alto,2007,"85,000 km",2nd,Petrol,--,"₹ 1,30,000"
483,--,--,--,--,--,--,--,₹ 999
484,Maruti Suzuki,Omni,2019,"32,600 km",1st,Petrol,5 Seater BSIV,"₹ 3,35,000"
485,Maruti Suzuki,Others,2020,"21,000 km",2nd,Petrol,Others,"₹ 4,00,000"
486,Tata,Indigo Ecs,2013,"100,554 km",2nd,Diesel,2008-2012 LX (TDI) BS III,"₹ 1,40,000"
487,Hyundai,i20,2011,"97,000 km",2nd,Diesel,2009-2011 Asta (o) 1.4 CRDi (Diesel),"₹ 2,75,000"
488,Ford,Endeavour,2017,"36,000 km",2nd,Diesel,3.2 Titanium AT 4X4,"₹ 27,50,000"
489,Hyundai,EON,2017,"35,959 km",2nd,Petrol,Magna Plus,"₹ 2,80,000"
490,Honda,Amaze,2014,"60,100 km",1st,Petrol,1.2 SMT I VTEC,"₹ 3,75,000"
491,Maruti Suzuki,Alto 800,2005,"113,505 km",3rd,Petrol,LXI,"₹ 1,50,000"
492,BMW,3 Series GT,2017,"18,000 km",1st,Diesel,3 Series GT 320d GT Luxury Line,"₹ 32,75,000"
493,Maruti Suzuki,Baleno,2006,"40,000 km",2nd,Petrol,1999-2007 Vxi - BSIII,"₹ 2,50,000"
494,Maruti Suzuki,Wagon R,2014,"12,000 km",1st,Petrol,VXI,"₹ 3,75,000"
495,Maruti Suzuki,Alto K10,2014,"79,351 km",1st,CNG & Hybrids,VXI,"₹ 1,95,000"
496,Maruti Suzuki,Vitara Brezza,2016,"47,253 km",1st,Diesel,ZDi,"₹ 7,85,000"
497,--,--,--,--,--,--,--,₹ 99
498,Honda,Brio,2013,"15,000 km",1st,Petrol,1.2 VX AT,"₹ 42,000"
499,Ford,Endeavour,2017,"64,156 km",1st,Diesel,3.2 Titanium AT 4X4,"₹ 26,60,000"
500,Ford,Figo,2012,"75,211 km",--,Diesel,2010-2012 Diesel ZXI,"₹ 1,95,000"
501,Audi,Q5,2012,"80,000 km",1st,Diesel,2.0 TDI quattro Premium,"₹ 15,50,000"
502,Other Brands,Others,2017,"50,000 km",2nd,CNG & Hybrids,--,"₹ 55,000"
503,Volkswagen,Polo,2013,"65,000 km",3rd,Diesel,2009-2013 IPL II 1.2 Diesel Highline,"₹ 2,20,000"
504,Hyundai,i20,2011,"32,000 km",2nd,Petrol,1.2 Spotz,"₹ 2,10,000"
505,Mahindra,Xylo,2015,"110,000 km",1st,Diesel,D4,"₹ 5,20,000"
506,Maruti Suzuki,SX4,2008,"120,000 km",3rd,CNG & Hybrids,ZXi,"₹ 1,50,000"
507,Maruti Suzuki,800,2000,"580,000 km",1st,LPG,AC BSII,"₹ 50,000"
508,Toyota,Innova,2011,"156,261 km",2nd,Diesel,2.5 GX 8 STR BS-III,"₹ 7,30,000"
509,Hyundai,Elite i20,2017,"21,470 km",1st,Petrol,Asta 1.2,"₹ 5,45,000"
510,Maruti Suzuki,Zen,2004,"20,000 km",2nd,Diesel,D,"₹ 75,000"
511,--,--,--,--,--,--,--,₹ 99
512,Maruti Suzuki,Swift Dzire,2017,"85,000 km",2nd,Diesel,VDI,"₹ 6,15,000"
513,Maruti Suzuki,800,2008,"90,000 km",1st,Petrol,AC BSIII,"₹ 1,10,000"
514,Jeep,Compass,2018,"39,000 km",1st,Diesel,2.0 Limited Option Black,"₹ 14,00,000"
515,Maruti Suzuki,Swift,2012,"101,000 km",2nd,Diesel,VDI,"₹ 2,85,000"
516,Maruti Suzuki,Alto,2007,"127,000 km",2nd,Petrol,2005-2010 LXi BSIII,"₹ 80,000"
517,--,--,--,--,--,--,--,₹ 99
518,Maruti Suzuki,Alto,2011,"95,000 km",3rd,Petrol,LXi,"₹ 1,50,000"
519,Maruti Suzuki,Vitara Brezza,2019,"9,700 km",1st,Diesel,ZDi Plus AMT Dual Tone,"₹ 10,95,000"
520,Maruti Suzuki,Ritz,2014,"63,000 km",1st,Diesel,VDi,"₹ 4,15,000"
521,Maruti Suzuki,Baleno,2018,"33,660 km",1st,Diesel,Alpha Diesel,"₹ 8,50,000"
522,Hyundai,Creta,2019,"59,000 km",1st,Diesel,1.6 SX Automatic Diesel,"₹ 13,80,000"
523,--,--,--,--,--,--,--,"₹ 49,90,000"
524,Hyundai,Santro Xing,2009,"65,000 km",3rd,Petrol,GL,"₹ 1,40,000"
525,--,--,--,--,--,--,--,"₹ 6,000"
526,Maruti Suzuki,800,1998,"53,000 km",1st,Petrol,AC,"₹ 77,777"
527,--,--,--,--,--,--,--,"₹ 44,00,000"
528,Mahindra,Bolero,2017,"70,000 km",1st,Diesel,Others,"₹ 6,45,000"
529,Mercedes-Benz,E-Class,2007,"98,000 km",2nd,Diesel,E250 CDI Elegance,"₹ 8,55,000"
530,Honda,Amaze,2018,"23,500 km",1st,Petrol,1.2 SMT I VTEC,"₹ 5,30,000"
531,Mahindra Renault,Others,2009,16 km,2nd,Diesel,Others,"₹ 1,65,000"
532,--,--,--,--,--,--,--,--
533,Tata,Tiago,2018,"46,000 km",1st,Petrol,1.2 Revotron XZ,"₹ 4,90,000"
534,Maruti Suzuki,Swift Dzire,2018,"30,000 km",2nd,Diesel,VDI,"₹ 6,40,000"
535,Mahindra,Scorpio,2006,"120,000 km",1st,Diesel,2002-2013 2.6 CRDe,"₹ 2,20,000"
536,--,--,--,--,--,--,--,₹ 99
537,Mitsubishi,Pajero,2007,"216,000 km",2nd,Diesel,Others,"₹ 6,20,000"
538,Hyundai,Verna,2011,"90,000 km",2nd,Diesel,CRDi 1.6 SX,"₹ 3,29,000"
539,Hyundai,i10,2016,"13,962 km",1st,Petrol,Sportz 1.1 iRDE2,"₹ 4,45,000"
540,Honda,City,2017,"62,000 km",1st,Petrol,2015-2017 i VTEC VX Option,"₹ 8,51,000"
541,Maruti Suzuki,Ignis,2018,"14,000 km",1st,Petrol,1.3 Zeta,"₹ 5,90,000"
542,Datsun,GO Plus,2019,"19,000 km",1st,Petrol,D Petrol,"₹ 5,00,000"
543,Mahindra,Xylo,2011,"96,000 km",2nd,Diesel,E6 Celebration BS-IV,"₹ 2,10,000"
544,Maruti Suzuki,Celerio,2015,"50,000 km",1st,Petrol,VXI MT,"₹ 3,30,000"
545,Toyota,Etios,2013,"72,500 km",1st,Diesel,2010-2012 Diesel TRD Sportivo,"₹ 5,30,000"
546,--,--,--,--,--,--,--,"₹ 3,500"
547,Maruti Suzuki,Eeco,2010,"92,000 km",3rd,Petrol,7 Seater Standard,"₹ 2,65,000"
548,Maruti Suzuki,800,1996,"66,000 km",4th,Petrol,DX,"₹ 30,000"
549,Hyundai,i20,2009,"120,000 km",2nd,Petrol,1.2 Asta,"₹ 2,00,000"
550,Maruti Suzuki,Swift,2007,"140,000 km",2nd,Diesel,2004-2010 Vdi BSIII,"₹ 2,00,000"
551,Maruti Suzuki,Swift,2012,"65,000 km",1st,Diesel,VDI,"₹ 3,55,000"
552,Ford,Ecosport,2015,"114,000 km",1st,Diesel,1.5 Diesel Titanium Plus,"₹ 5,25,000"
553,Tata,Altroz,2006,"55,000 km",2nd,Diesel,Others,"₹ 85,000"
554,Maruti Suzuki,Alto K10,2010,"35,000 km",2nd,Petrol,K10 VXi (O),"₹ 2,20,000"
555,Honda,City,2005,"95,252 km",2nd,Petrol,2003-2005 1.5 EXI,"₹ 1,38,000"
556,Maruti Suzuki,Zen,1998,"95,000 km",2nd,Petrol,VXI,"₹ 65,000"
557,Maruti Suzuki,Baleno,2017,"50,300 km",1st,Petrol,Delta Automatic,"₹ 6,50,000"
558,Maruti Suzuki,Celerio,2014,"53,000 km",2nd,Petrol,2014-2017 ZXI Optional,"₹ 4,30,000"
559,Hyundai,i10,2011,"84,000 km",1st,Petrol,Sportz 1.2 KAPPA VTVT,"₹ 3,11,000"
560,Maruti Suzuki,Swift Dzire Tour,2019,"25,000 km",1st,Diesel,LDI,"₹ 5,95,000"
561,Maruti Suzuki,Ciaz,2016,"55,000 km",1st,Diesel,2014-2017 VDi Option SHVS,"₹ 6,24,999"
562,Tata,Indica,2009,"60,000 km",1st,Diesel,Others,"₹ 40,000"
563,--,--,--,--,--,--,--,--
564,--,--,--,--,--,--,--,"₹ 17,50,000"
